process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_1-diablo-full	3s	109.0%	0.1%	245.9 MB	245.9 MB	1.3 GB	3.4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_2-diablo-null	3.2s	109.5%	0.1%	243.6 MB	243.6 MB	1.3 GB	3.7s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-blca-fold_1-diablo-null	6.8s	128.1%	0.2%	462 MB	538 MB	1.7 GB	7.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-blca-fold_2-diablo-full	6.7s	119.4%	0.3%	506.3 MB	534.2 MB	1.7 GB	7.2s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_2	10.1s	90.6%	0.3%	515.7 MB	515.7 MB	1.6 GB	10.6s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_1	10.3s	94.7%	0.3%	515.7 MB	515.7 MB	1.6 GB	10.8s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-1-fold_2	1.4s	154.2%	0.1%	115.7 MB	115.7 MB	1.3 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-blca-fold_1-full	25.9s	131.6%	0.6%	1.2 GB	1.2 GB	2.4 GB	26.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0-fold_1-diablo-full	3.2s	105.9%	0.1%	223.9 MB	223.9 MB	1.2 GB	3.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_1	9.5s	108.2%	0.3%	580.2 MB	580.2 MB	1.7 GB	10.2s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-1-fold_1	1.4s	161.5%	0.0%	96.3 MB	96.3 MB	1.2 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-0-fold_2	1.5s	141.0%	0.0%	5.1 MB	5.1 MB	92.5 MB	2s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-0-fold_1	1.4s	148.9%	0.1%	133.1 MB	133.1 MB	1.3 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-0-fold_2-diablo-null	3.5s	113.0%	0.1%	243.8 MB	243.8 MB	1.3 GB	4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-1-fold_1-diablo-full	3.3s	105.1%	0.1%	244.2 MB	244.2 MB	1.3 GB	3.7s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-0.5-fold_1-diablo-null	4.5s	112.6%	0.1%	247.9 MB	247.9 MB	1.5 GB	5s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0-fold_2	1.6s	126.9%	0.0%	5.2 MB	5.2 MB	93.3 MB	2s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-0.5-fold_1-diablo-full	4.1s	111.2%	0.1%	252.4 MB	252.4 MB	1.5 GB	4.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-brca-fold_1	1.9s	103.7%	0.0%	31 MB	31 MB	1 GB	2.3s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_1-diablo-full	4.7s	108.9%	0.1%	248.6 MB	248.6 MB	1.5 GB	5.1s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_1	1.4s	137.9%	0.0%	7.1 MB	7.1 MB	94 MB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-thca-fold_1-full	21.5s	118.4%	0.5%	947.7 MB	947.7 MB	2.1 GB	21.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-thca-fold_2-null	20.5s	114.3%	0.5%	890.7 MB	916 MB	2.1 GB	21.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-blca-fold_1-diablo-full	6.9s	121.7%	0.3%	539.4 MB	539.4 MB	1.7 GB	7.5s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-100_effect-2_sigma-def_corr-1	11s	101.2%	0.4%	698.2 MB	698.2 MB	2.2 GB	11.5s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-100_effect-2_sigma-def_corr-1	12.2s	94.6%	0.3%	652.7 MB	652.7 MB	1.7 GB	12.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-500_effect-2_sigma-def_corr-1	12.5s	96.3%	0.4%	704.9 MB	706.4 MB	1.8 GB	12.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_1	9.3s	97.1%	0.3%	616.3 MB	616.3 MB	1.7 GB	9.8s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	tcga-blca	18.5s	97.3%	0.4%	790 MB	790 MB	1.9 GB	19s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-indep_corr-1-fold_1-full	9.8s	97.0%	0.3%	552.6 MB	552.6 MB	1.7 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0-fold_1-null	10.9s	99.0%	0.3%	552.6 MB	552.6 MB	1.7 GB	11.3s	1 GB
