process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-def_corr-0	556ms	193.2%	0.0%	5.1 MB	5.1 MB	92.5 MB	928ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-indep_corr-0	553ms	192.9%	0.0%	5 MB	5 MB	87.3 MB	978ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	rosmap	630ms	131.8%	0.0%	4.8 MB	4.8 MB	58.9 MB	1.2s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-def_corr-0.5	553ms	173.3%	0.0%	4.9 MB	4.9 MB	58.9 MB	935ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-indep_corr-1	564ms	188.3%	0.0%	5 MB	5 MB	89.5 MB	976ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	GSE71669	1s	164.1%	0.0%	4.9 MB	4.9 MB	89.5 MB	1.4s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-def_corr-1	595ms	132.5%	0.0%	4.4 MB	4.4 MB	16.9 MB	1.2s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-100_effect-2_sigma-indep_corr-0.5	633ms	168.9%	0.0%	3.6 MB	3.6 MB	7.2 MB	1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	rosmap	11s	97.3%	0.3%	653 MB	653 MB	1.7 GB	11.4s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-indep_corr-0	10.8s	95.4%	0.3%	588.6 MB	588.6 MB	1.7 GB	11.2s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-indep_corr-1	11.8s	94.3%	0.3%	588.6 MB	588.6 MB	1.7 GB	12.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-def_corr-1	596ms	143.9%	0.0%	4.5 MB	4.5 MB	22.1 MB	1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-def_corr-1	10.2s	96.5%	0.3%	640.4 MB	640.4 MB	1.7 GB	10.6s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-def_corr-0.5	558ms	151.5%	0.0%	4.9 MB	4.9 MB	89.5 MB	919ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-def_corr-0	568ms	170.2%	0.0%	4.5 MB	4.5 MB	22.1 MB	968ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-def_corr-0	10.4s	98.6%	0.3%	588.5 MB	588.5 MB	1.7 GB	10.8s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-indep_corr-0.5	560ms	179.9%	0.0%	5 MB	5 MB	89.5 MB	975ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	GSE71669	13.3s	96.7%	0.4%	675.6 MB	675.6 MB	1.8 GB	13.8s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-indep_corr-0.5	10.9s	97.4%	0.3%	588.2 MB	588.2 MB	1.7 GB	11.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-indep_corr-0	560ms	186.3%	0.0%	4.9 MB	4.9 MB	59.2 MB	947ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-100_effect-2_sigma-def_corr-0.5	11.3s	95.7%	0.3%	614.3 MB	614.3 MB	1.7 GB	11.8s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_effect-2_sigma-indep_corr-1	553ms	192.3%	0.0%	5 MB	5 MB	89.5 MB	921ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-50_p-200_j-3_beta-30_s-39	558ms	174.5%	0.0%	4.7 MB	4.7 MB	58.7 MB	958ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-def_corr-0.5	617ms	177.5%	0.0%	5 MB	5 MB	89.5 MB	1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-def_corr-1	10.1s	97.4%	0.3%	644.9 MB	644.9 MB	1.7 GB	10.6s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-def_corr-1	592ms	186.3%	0.0%	4.8 MB	4.8 MB	58.7 MB	978ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-indep_corr-1	11.3s	98.0%	0.3%	597.3 MB	597.3 MB	1.7 GB	11.7s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-def_corr-0	9.9s	95.7%	0.3%	648.5 MB	648.5 MB	1.7 GB	10.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-indep_corr-0	583ms	210.1%	0.0%	5.1 MB	5.1 MB	89.6 MB	963ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-def_corr-0	607ms	185.2%	0.0%	5 MB	5 MB	89.5 MB	989ms	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-kipan	1.8s	134.5%	0.0%	81.3 MB	81.3 MB	1.2 GB	2.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-indep_corr-0.5	629ms	160.2%	0.0%	4.8 MB	4.8 MB	58.9 MB	1.1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-indep_corr-0.5	11.1s	97.1%	0.3%	623.3 MB	623.3 MB	1.7 GB	11.6s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-indep_corr-0	9.9s	98.2%	0.3%	658.8 MB	658.8 MB	1.8 GB	10.3s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_effect-2_sigma-def_corr-0.5	10.7s	95.9%	0.3%	590.3 MB	590.3 MB	1.7 GB	11.1s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-thca	2.5s	135.3%	0.0%	81.3 MB	81.3 MB	1.2 GB	3s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-def_corr-0.5	11.5s	96.9%	0.3%	612.2 MB	612.2 MB	1.7 GB	12s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-blca	3.6s	133.8%	0.0%	81.2 MB	81.2 MB	1.2 GB	4.1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-def_corr-1	11.2s	95.7%	0.3%	621 MB	621 MB	1.7 GB	11.6s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	sim-data_n-500_effect-2_sigma-indep_corr-1	590ms	195.3%	0.0%	5.1 MB	5.1 MB	89.6 MB	983ms	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-thca	44.9s	97.6%	0.5%	998.1 MB	1.1 GB	2.2 GB	45.3s	512 MB
PREPARE_DATA:UNCOMPRESS_RECORD	tcga-brca	1.7s	133.6%	0.0%	81 MB	81 MB	1.2 GB	2s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-indep_corr-0	11s	96.7%	0.3%	611.7 MB	611.7 MB	1.7 GB	11.8s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-50_p-200_j-3_beta-30_s-39	10.2s	96.7%	0.3%	606.4 MB	606.4 MB	1.7 GB	10.6s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-blca	1m 1s	97.7%	0.8%	1.5 GB	1.5 GB	2.7 GB	1m 1s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-kipan	30.8s	97.6%	0.5%	990.8 MB	990.8 MB	2.1 GB	31.2s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-indep_corr-1	12.1s	95.9%	0.3%	612.1 MB	612.1 MB	1.7 GB	12.5s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-indep_corr-0.5	10.8s	96.6%	0.3%	611.7 MB	611.7 MB	1.7 GB	11.2s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	sim-data_n-500_effect-2_sigma-def_corr-0	11.6s	98.3%	0.3%	611.9 MB	611.9 MB	1.7 GB	12s	512 MB
PREPARE_DATA:PREPARE_MAE_DATA	tcga-brca	29.3s	95.9%	0.5%	997.2 MB	997.2 MB	2.1 GB	29.7s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_p-200_j-3_beta-30_s-39	2.6s	101.7%	0.1%	143 MB	143 MB	827.7 MB	3s	512 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_p-200_j-3_beta-30_s-39	2.4s	93.5%	0.1%	133.2 MB	133.2 MB	816.7 MB	2.9s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-50_p-200_j-3_beta-30_s-39	12.2s	92.3%	0.4%	699.6 MB	699.6 MB	1.8 GB	12.6s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-50_p-200_j-3_beta-30_s-39	11.4s	91.3%	0.3%	652.7 MB	652.7 MB	1.7 GB	11.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-50_p-200_j-3_beta-30_s-39	11.3s	101.9%	0.4%	705.9 MB	705.9 MB	2.1 GB	11.7s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_2	9.8s	94.5%	0.3%	528 MB	528 MB	1.6 GB	10.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_2-full	11s	96.6%	0.3%	552.7 MB	552.7 MB	1.7 GB	11.4s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_1	9.2s	98.1%	0.3%	515.7 MB	515.7 MB	1.6 GB	9.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_1-full	9.8s	96.1%	0.3%	552.6 MB	552.6 MB	1.7 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_1	1.5s	148.0%	0.1%	113.6 MB	113.6 MB	1.3 GB	2s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_2	1.3s	168.9%	0.1%	131.6 MB	133.4 MB	1.3 GB	1.7s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_1-diablo-full	3.4s	103.9%	0.1%	232.6 MB	232.6 MB	1.3 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_2-diablo-full	3.1s	110.0%	0.1%	244.1 MB	244.1 MB	1.3 GB	3.6s	256 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-100_effect-2_sigma-indep_corr-0.5	2.7s	103.6%	0.1%	138.9 MB	138.9 MB	826.7 MB	3.7s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	rosmap	2.7s	95.7%	0.1%	143.1 MB	143.1 MB	827.7 MB	3.6s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-100_effect-2_sigma-def_corr-0	2.6s	101.2%	0.1%	139.8 MB	139.8 MB	827.7 MB	3.1s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-100_effect-2_sigma-def_corr-1	2.6s	102.5%	0.1%	144.1 MB	144.1 MB	827.7 MB	3.1s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-100_effect-2_sigma-indep_corr-1	2.5s	111.6%	0.1%	142.5 MB	142.5 MB	827.7 MB	2.9s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	GSE71669	3s	102.4%	0.1%	161.5 MB	161.5 MB	844.5 MB	3.4s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-100_effect-2_sigma-indep_corr-0	2.6s	94.1%	0.1%	144 MB	144 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_effect-2_sigma-def_corr-1	2.7s	96.3%	0.1%	141.5 MB	141.5 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_effect-2_sigma-def_corr-0	2.6s	100.7%	0.1%	139.7 MB	139.7 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_effect-2_sigma-def_corr-0.5	2.5s	95.2%	0.1%	139.6 MB	139.6 MB	827.7 MB	2.9s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_effect-2_sigma-indep_corr-1	2.6s	101.0%	0.1%	139.6 MB	139.6 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_effect-2_sigma-indep_corr-0.5	2.7s	96.4%	0.1%	139.9 MB	139.9 MB	827.7 MB	3.1s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-50_effect-2_sigma-indep_corr-0	2.5s	100.3%	0.1%	143.8 MB	143.8 MB	827.7 MB	2.9s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-500_effect-2_sigma-def_corr-0.5	2.6s	104.1%	0.1%	145.7 MB	145.7 MB	829.1 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-500_effect-2_sigma-def_corr-1	2.6s	101.8%	0.1%	144 MB	144 MB	829 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-500_effect-2_sigma-indep_corr-0	2.6s	99.5%	0.1%	144.5 MB	144.5 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-500_effect-2_sigma-def_corr-0	2.6s	98.7%	0.1%	144.2 MB	144.2 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-500_effect-2_sigma-indep_corr-0.5	2.6s	97.3%	0.1%	144 MB	144 MB	827.7 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	tcga-kipan	3.4s	99.6%	0.1%	201.4 MB	201.4 MB	884.2 MB	3.9s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	tcga-thca	3.3s	99.2%	0.1%	223.1 MB	223.1 MB	906.4 MB	3.8s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	sim-data_n-500_effect-2_sigma-indep_corr-1	2.6s	96.8%	0.1%	143.8 MB	143.8 MB	829.1 MB	3s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	tcga-blca	3.8s	94.7%	0.2%	375.5 MB	470.5 MB	1.1 GB	4.2s	512 MB
PREPARE_DATA:PREPARE_MU_DATA	tcga-brca	3.1s	95.2%	0.1%	213.9 MB	213.9 MB	897.3 MB	3.6s	512 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-100_effect-2_sigma-indep_corr-0.5	2.2s	120.7%	0.0%	79.2 MB	79.2 MB	743.7 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	rosmap	2.3s	106.2%	0.0%	78.2 MB	78.2 MB	742.8 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-100_effect-2_sigma-def_corr-0	2.4s	107.2%	0.0%	80.3 MB	80.3 MB	744.8 MB	2.8s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-100_effect-2_sigma-def_corr-1	2.3s	101.8%	0.1%	132.5 MB	132.5 MB	816.5 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-100_effect-2_sigma-indep_corr-1	2.3s	102.0%	0.0%	78.2 MB	78.2 MB	743.1 MB	2.8s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	GSE71669	2.3s	107.7%	0.0%	81.5 MB	81.5 MB	746.7 MB	2.8s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-100_effect-2_sigma-indep_corr-0	2.2s	104.3%	0.0%	79 MB	79 MB	743.5 MB	2.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_p-200_j-3_beta-30_s-39-fold_2-null	11s	92.8%	0.3%	552.3 MB	552.3 MB	1.7 GB	11.4s	1 GB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_effect-2_sigma-def_corr-1	2.2s	109.6%	0.0%	80.5 MB	80.5 MB	744.8 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_effect-2_sigma-def_corr-0	2.2s	110.7%	0.0%	78.7 MB	78.7 MB	743.4 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_effect-2_sigma-def_corr-0.5	2.2s	116.5%	0.0%	79.5 MB	79.5 MB	744.8 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_effect-2_sigma-indep_corr-1	2.2s	120.2%	0.0%	79 MB	79 MB	743.5 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_effect-2_sigma-indep_corr-0.5	2.3s	116.2%	0.1%	132.5 MB	132.5 MB	816.3 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-50_effect-2_sigma-indep_corr-0	2.3s	118.4%	0.0%	81.3 MB	81.3 MB	746.4 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-500_effect-2_sigma-def_corr-0.5	2.2s	116.0%	0.1%	133.5 MB	133.5 MB	817.2 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-500_effect-2_sigma-def_corr-1	2.2s	113.2%	0.1%	131.2 MB	133.5 MB	817.2 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-500_effect-2_sigma-indep_corr-0	2.2s	122.9%	0.0%	80.8 MB	80.8 MB	746.3 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-500_effect-2_sigma-def_corr-0	2.2s	118.9%	0.0%	78.7 MB	78.7 MB	743.4 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-500_effect-2_sigma-indep_corr-0.5	2.3s	117.4%	0.1%	133.4 MB	133.4 MB	817.2 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	tcga-kipan	2.5s	115.4%	0.1%	156.5 MB	156.5 MB	837.7 MB	3s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	tcga-thca	2.3s	114.5%	0.1%	145 MB	173.3 MB	855.8 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	sim-data_n-500_effect-2_sigma-indep_corr-1	2.2s	115.4%	0.1%	133.5 MB	133.5 MB	817.3 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	tcga-blca	2.3s	119.4%	0.1%	148 MB	206.2 MB	889.3 MB	2.7s	256 MB
SPLITTING:SPLIT_TRAIN_TEST	tcga-brca	2.4s	116.9%	0.1%	146.6 MB	164.4 MB	847.5 MB	2.8s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-100_effect-2_sigma-indep_corr-0.5	12.7s	96.6%	0.4%	699 MB	699 MB	1.8 GB	13.2s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-100_effect-2_sigma-indep_corr-0.5	10.9s	104.1%	0.4%	704.4 MB	704.4 MB	2.1 GB	11.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-100_effect-2_sigma-indep_corr-0.5	12s	95.9%	0.3%	652.8 MB	652.8 MB	1.7 GB	12.5s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	rosmap	12.3s	106.6%	0.4%	694 MB	694 MB	2.1 GB	12.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	rosmap	13.4s	95.1%	0.3%	652.6 MB	652.6 MB	1.7 GB	14s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	rosmap	14.2s	93.7%	0.4%	710.6 MB	710.6 MB	1.8 GB	14.7s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-100_effect-2_sigma-indep_corr-1	11.1s	96.7%	0.3%	652.6 MB	652.6 MB	1.7 GB	11.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-100_effect-2_sigma-indep_corr-0	12.1s	104.8%	0.4%	705.9 MB	707.7 MB	2.2 GB	12.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	GSE71669	14.4s	90.9%	0.3%	674 MB	695.1 MB	1.8 GB	14.8s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	GSE71669	13.4s	92.0%	0.4%	715.1 MB	737.3 MB	1.8 GB	13.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-100_effect-2_sigma-indep_corr-0	12.6s	89.6%	0.4%	699.5 MB	699.5 MB	1.8 GB	13.2s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	GSE71669	21.8s	110.6%	0.5%	953.7 MB	976.8 MB	2.5 GB	22.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-50_effect-2_sigma-def_corr-0	12.2s	93.8%	0.3%	652.5 MB	652.5 MB	1.7 GB	12.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-50_effect-2_sigma-indep_corr-1	11.2s	96.0%	0.3%	652.5 MB	652.5 MB	1.7 GB	11.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-50_effect-2_sigma-indep_corr-1	12s	103.6%	0.4%	709.8 MB	709.8 MB	2.1 GB	12.4s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-50_effect-2_sigma-indep_corr-1	11.9s	92.7%	0.4%	699.7 MB	699.7 MB	1.8 GB	12.4s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-50_effect-2_sigma-indep_corr-0.5	12s	92.6%	0.4%	699.6 MB	699.6 MB	1.8 GB	12.5s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-50_effect-2_sigma-indep_corr-0	12.5s	93.4%	0.3%	652.5 MB	652.5 MB	1.7 GB	13.1s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-50_effect-2_sigma-indep_corr-0	12.1s	100.5%	0.4%	711.6 MB	711.6 MB	2.1 GB	12.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-500_effect-2_sigma-def_corr-1	12.5s	100.9%	0.3%	674 MB	674 MB	2.1 GB	13s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-500_effect-2_sigma-indep_corr-0	13.9s	91.4%	0.4%	705.2 MB	708.5 MB	1.8 GB	14.4s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-500_effect-2_sigma-indep_corr-0	13.3s	91.0%	0.3%	652.5 MB	653.5 MB	1.7 GB	13.7s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-500_effect-2_sigma-indep_corr-0	13.5s	114.2%	0.3%	643.9 MB	644.8 MB	2.1 GB	14s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-500_effect-2_sigma-def_corr-0	14s	96.3%	0.3%	591.9 MB	591.9 MB	1.7 GB	14.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-500_effect-2_sigma-indep_corr-0.5	14.1s	92.2%	0.4%	703.4 MB	703.4 MB	1.8 GB	14.6s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	sim-data_n-500_effect-2_sigma-indep_corr-1	12.7s	113.8%	0.4%	794 MB	794 MB	2.2 GB	13.2s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	sim-data_n-500_effect-2_sigma-indep_corr-1	13.7s	91.0%	0.4%	705.4 MB	705.4 MB	1.8 GB	14.1s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_n-500_effect-2_sigma-indep_corr-1	13.2s	92.8%	0.3%	652.3 MB	653.6 MB	1.7 GB	13.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	tcga-kipan	23.5s	92.9%	0.4%	733.8 MB	771.9 MB	1.9 GB	24s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	rosmap-fold_1-null	13.3s	84.8%	0.3%	629 MB	629 MB	1.7 GB	13.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	rosmap-fold_1-full	13.8s	77.9%	0.3%	552.7 MB	552.7 MB	1.7 GB	14.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	tcga-brca	25.1s	88.2%	0.4%	726.9 MB	758.3 MB	1.8 GB	25.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	tcga-brca	27.9s	103.2%	0.6%	1.1 GB	1.1 GB	2.6 GB	28.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_DOWNSTREAM	tcga-blca	33.8s	166.6%	0.9%	1.6 GB	1.6 GB	3.1 GB	34.2s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	GSE71669-fold_2	10.1s	98.3%	0.3%	627.6 MB	627.6 MB	1.7 GB	10.5s	1 GB
